Date,DHI,LEN,Signal,Lagged Signal,Spread Return,Strategy Return,Cumulative Return
2023-08-22 00:00:00-04:00,0.010211682316055149,0.006196727170380031,0,0.0,0.0040149551456751175,0.0,1.0189899520001495
2023-08-23 00:00:00-04:00,0.006212996363125524,0.005305504803614879,0,0.0,0.0009074915595106451,0.0,1.0189899520001495
2023-08-24 00:00:00-04:00,-0.00989088136800088,-0.01098437460155121,0,0.0,0.0010934932335503293,0.0,1.0189899520001495
2023-08-25 00:00:00-04:00,-0.015196394967330355,-0.016092256269525117,0,0.0,0.0008958613021947618,0.0,1.0189899520001495
2023-08-28 00:00:00-04:00,0.005898786734213933,8.769480787030724e-05,0,0.0,0.005811091926343626,0.0,1.0189899520001495
2023-08-29 00:00:00-04:00,0.013828864742578705,0.02185496814883533,0,0.0,-0.008026103406256624,-0.0,1.0189899520001495
2023-08-30 00:00:00-04:00,0.01498564937947581,0.02289788772343029,0,0.0,-0.00791223834395448,-0.0,1.0189899520001495
2023-08-31 00:00:00-04:00,0.00016811504323409945,-0.001510361486642735,0,0.0,0.0016784765298768344,0.0,1.0189899520001495
2023-09-01 00:00:00-04:00,0.009698950387204433,0.013097213056591402,0,0.0,-0.0033982626693869686,-0.0,1.0189899520001495
2023-09-05 00:00:00-04:00,-0.050338930910888806,-0.050395124800224116,1,0.0,5.619388933530978e-05,0.0,1.0189899520001495
2023-09-06 00:00:00-04:00,0.011743836173739015,0.019079441922467102,0,1.0,-0.007335605748728087,-0.007335605748728087,1.011515043450361
2023-09-07 00:00:00-04:00,0.01271818045404482,0.009701412801159316,0,0.0,0.0030167676528855044,0.0,1.011515043450361
2023-09-08 00:00:00-04:00,0.0017064388602200504,0.004984073064027919,0,0.0,-0.0032776342038078683,-0.0,1.011515043450361
2023-09-11 00:00:00-04:00,0.004847126470123334,0.009143261563480597,0,0.0,-0.004296135093357263,-0.0,1.011515043450361
2023-09-12 00:00:00-04:00,-0.027870504226442116,-0.02751263960791039,0,0.0,-0.00035786461853172524,-0.0,1.011515043450361
2023-09-13 00:00:00-04:00,-0.006827096474447125,-0.0046455571371513986,0,0.0,-0.0021815393372957266,-0.0,1.011515043450361
2023-09-14 00:00:00-04:00,0.01170023716089166,0.014807481471983252,0,0.0,-0.003107244311091592,-0.0,1.011515043450361
2023-09-15 00:00:00-04:00,-0.02487288324016234,-0.025296064038880867,0,0.0,0.0004231807987185275,0.0,1.011515043450361
2023-09-18 00:00:00-04:00,0.007270890798275369,0.01967283639243576,0,0.0,-0.012401945594160392,-0.0,1.011515043450361
2023-09-19 00:00:00-04:00,0.0035275835377950545,0.0021337180410129545,0,0.0,0.0013938654967821,0.0,1.011515043450361
2023-09-20 00:00:00-04:00,-0.0034393791840819895,-0.006500750560446886,0,0.0,0.003061371376364897,0.0,1.011515043450361
2023-09-21 00:00:00-04:00,-0.037349583128253656,-0.029611168316110624,1,0.0,-0.007738414812143032,-0.0,1.011515043450361
2023-09-22 00:00:00-04:00,0.0022899294157003314,0.003265262292372902,0,1.0,-0.0009753328766725707,-0.0009753328766725707,1.010528479573235
2023-09-25 00:00:00-04:00,-0.010392416736496119,-0.0037957570695691975,0,0.0,-0.006596659666926921,-0.0,1.010528479573235
2023-09-26 00:00:00-04:00,-0.006585323541453287,-0.010044108814357832,0,0.0,0.003458785272904545,0.0,1.010528479573235
2023-09-27 00:00:00-04:00,-0.004196316204626953,-0.002146270116693415,0,0.0,-0.002050046087933538,-0.0,1.010528479573235
